state,lockdown stringency 2020 average,"cinema search change (%, 2023 vs 2019)",party of governor
Vermont,48.29532353,38,Republican
Maine,56.57873529,29.16666667,Democratic
Wisconsin,52.74,28.20512821,Democratic
Virginia,52.79038235,26,Democratic
Michigan,66.75714706,23.88059701,Democratic
Minnesota,58.64779412,17.30769231,Democratic
Massachusetts,58.33732353,17.24137931,Republican
New Hampshire,41.82294118,14.28571429,Republican
Illinois,46.57070588,8.571428571,Democratic
Nebraska,52.38561765,6.578947368,Republican
West Virginia,51.67220588,5.555555556,Republican
Washington,58.28105882,4.545454545,Democratic
Oregon,42.908,2.985074627,Democratic
Arkansas,50.97402941,0,Republican
Rhode Island,55.97673529,-2,Democratic
Idaho,65.41376471,-2.43902439,Republican
Pennsylvania,55.73526471,-7.317073171,Democratic
Mississippi,55.71494118,-8.163265306,Republican
Georgia,53.59117647,-10,Republican
North Dakota,53.97482353,-10.11235955,Republican
Missouri,47.29564706,-10.86956522,Republican
New York,55.90491176,-12.5,Democratic
New Mexico,50.36794118,-13.33333333,Democratic
South Dakota,48.51926471,-13.55932203,Republican
California,59.27144118,-13.63636364,Democratic
North Carolina,69.75735294,-20,Democratic
Ohio,65.46508824,-20,Republican
Oklahoma,57.59091176,-20.40816327,Republican
Kentucky,53.18864706,-22.44897959,Democratic
Texas,53.20352941,-23.52941176,Republican
Iowa,54.71626471,-24,Republican
Arizona,49.29094118,-24.32432432,Republican
Colorado,55.51873529,-25.92592593,Democratic
Indiana,52.21520588,-32.55813953,Republican
Connecticut,61.34523529,-32.60869565,Democratic
Alaska,45.86923529,-33.75,Republican
Kansas,50.00541176,-34.375,Democratic
Wyoming,55.27447059,-35.55555556,Republican
Florida,58.92994118,-36.36363636,Republican
South Carolina,62.03923529,-38,Republican
Alabama,55.40064706,-39.02439024,Republican
Delaware,63.33902941,-39.02439024,Democratic
Tennessee,42.27997059,-40,Republican
Montana,50.53829412,-41.17647059,Democratic
Maryland,56.04085294,-41.66666667,Republican
Louisiana,61.24411765,-42.10526316,Democratic
Nevada,58.3325,-43.24324324,Democratic
New Jersey,52.29838235,-46.66666667,Democratic
Hawaii,54.82773529,-48.27586207,Democratic
Utah,51.71570588,-51.35135135,Republican
